,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：a2005,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
14,,鲁证期货,2189,,-211,,
15,,浙商期货,1860,,-124,,
16,,华金期货,1773,,20,,
17,,华安期货,1674,,-101,,
18,,宏源期货,1652,,138,,
19,,天风期货,1622,,113,,
20,,美尔雅期货,1337,,-9,,
总计,,,,66222,,598,,



会员类别,总成交量,增减,,
期货公司会员,36130,,-2637,,

会员类别,总持买单量,增减,,
期货公司会员,69562,,582,,

会员类别,总持卖单量,增减,,
期货公司会员,66222,,598,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：y2005,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,东证期货,72545,,10687,,
2,,光大期货,45162,,12008,,
3,,中粮期货,20967,,-1265,,
4,,银河期货,15799,,8177,,
5,,新湖期货,14148,,12336,,
6,,中信期货,11434,,-1611,,
7,,广发期货,10558,,1659,,
8,,国元期货,9442,,-596,,
9,,海通期货,9213,,-4744,,
10,,华安期货,8951,,-254,,
11,,浙商期货,7321,,-691,,
12,,永安期货,7128,,1537,,
13,,国投安信,6583,,-1215,,
14,,国信期货,6460,,1050,,
15,,申银万国,5984,,-3129,,
16,,一德期货,5106,,646,,
17,,中财期货,5025,,1914,,
18,,上海中期,4942,,1282,,
19,,方正中期,4625,,148,,
20,,金瑞期货,4391,,870,,
总计,,,,275784,,38809,,

名次,,会员简称,持买单量,增减,,
1,,银河期货,26927,,9203,,
2,,永安期货,19966,,2096,,
3,,光大期货,13372,,-133,,
4,,中财期货,12837,,-344,,
5,,信达期货,12816,,-47,,
6,,中粮期货,10174,,-5574,,
7,,一德期货,9917,,-3018,,
8,,中信期货,9358,,-1692,,
9,,北京首创,8390,,-403,,
10,,东证期货,8208,,-473,,
11,,华安期货,8092,,2153,,
12,,国投安信,7859,,140,,
13,,金瑞期货,6947,,-66,,
14,,华泰期货,6457,,80,,
15,,浙商期货,5866,,212,,
16,,五矿经易,5860,,130,,
17,,申银万国,5767,,-431,,
18,,前海期货,5621,,-300,,
19,,创元期货,4378,,231,,
