商品名称:铜                  ,合约代码:cuall                         ,,,,,,,,,
,期货公司  ,期货公司  ,182357,6637,期货公司  ,期货公司  ,260868,3665,期货公司  ,期货公司  ,267278,3860,
商品名称:铜                  ,合约代码:cuall                         ,,,,,,,,,
,非期货公司,非期货公司,1501,-145,非期货公司,非期货公司,10469,173,非期货公司,非期货公司,4059,-22,
7,0049      ,金瑞期货  ,1523,490,0081      ,海通期货  ,3587,-145,0272      ,银河期货  ,2546,-332,
8,0048      ,长江期货  ,1257,-516,0299      ,华安期货  ,3294,-119,0271      ,渤海期货  ,2492,-4,
9,0047      ,迈科期货  ,1243,575,0136      ,信达期货  ,3132,311,0277      ,一德期货  ,2113,-241,
10,0042      ,光大期货  ,1160,301,0049      ,金瑞期货  ,2952,-151,0081      ,海通期货  ,1723,26,
11,0096      ,南华期货  ,1003,722,0047      ,迈科期货  ,2590,-18,0096      ,南华期货  ,1620,-171,
12,0082      ,国投安信  ,960,-276,0277      ,一德期货  ,2278,-100,0049      ,金瑞期货  ,1524,1126,
13,0139      ,中粮期货  ,741,-1168,0253      ,华泰期货  ,2195,-220,0261      ,长城期货  ,1500,-400,
14,0311      ,兴证期货  ,677,216,0004      ,国泰君安  ,1810,-127,0275      ,鲁证期货  ,1425,-223,
15,0077      ,新湖期货  ,578,-10,0169      ,兴业期货  ,1408,-37,0240      ,广发期货  ,1336,-136,
16,0272      ,银河期货  ,569,-497,0003      ,建信期货  ,1337,2,0253      ,华泰期货  ,1300,-753,
17,0069      ,申万期货  ,544,-175,0240      ,广发期货  ,1289,-23,0139      ,中粮期货  ,1208,-104,
18,0004      ,国泰君安  ,515,110,0008      ,上海中期  ,1123,-9,0103      ,永安期货  ,1204,-67,
19,0088      ,东亚期货  ,500,475,0096      ,南华期货  ,1113,-136,0004      ,国泰君安  ,1154,214,
20,0008      ,上海中期  ,489,254,0073      ,东华期货  ,1100,0,0042      ,光大期货  ,1099,-1101,
合计:al1912                        ,,,29403,-4834,,,55640,-2474,,,63913,-2237,
RANK1合约代码:al2001                        ,,,,,,,,,,
1,0081      ,海通期货  ,16238,-236,0139      ,中粮期货  ,7495,197,0148      ,中信期货  ,14998,-130,
2,0311      ,兴证期货  ,7870,-4090,0253      ,华泰期货  ,6813,-123,0081      ,海通期货  ,9339,-81,
3,0163      ,东证期货  ,5199,-2436,0148      ,中信期货  ,4831,142,0332      ,华信期货  ,8099,-2,
4,0148      ,中信期货  ,5150,-1906,0136      ,信达期货  ,4461,-290,0139      ,中粮期货  ,6360,-289,
5,0082      ,国投安信  ,3872,867,0003      ,建信期货  ,4334,187,0163      ,东证期货  ,5380,-375,
6,0274      ,中辉期货  ,3419,-349,0103      ,永安期货  ,4195,-169,0004      ,国泰君安  ,3884,-15,
7,0385      ,国富期货  ,3269,-409,0081      ,海通期货  ,3885,-99,0082      ,国投安信  ,3648,-167,
8,0009      ,五矿经易  ,2463,299,0004      ,国泰君安  ,3606,105,0253      ,华泰期货  ,3044,-34,
9,0308      ,国信期货  ,2284,-483,0240      ,广发期货  ,3571,-311,0157      ,中国国际  ,2784,45,
10,0069      ,申万期货  ,1791,-696,0049      ,金瑞期货  ,3476,-52,0029      ,国海良时  ,2727,-64,
11,0137      ,宏源期货  ,1705,-1404,0008      ,上海中期  ,3447,10,0299      ,华安期货  ,2607,79,
12,0048      ,长江期货  ,1684,-77,0169      ,兴业期货  ,3335,2,0137      ,宏源期货  ,2560,-332,
13,0253      ,华泰期货  ,1581,-1829,0029      ,国海良时  ,3313,-233,0003      ,建信期货  ,2513,-8,
14,0034      ,方正中期  ,1573,-624,0308      ,国信期货  ,3301,-1010,0272      ,银河期货  ,2479,180,
15,0186      ,徽商期货  ,1559,223,0275      ,鲁证期货  ,2231,1086,0275      ,鲁证期货  ,2450,-84,
16,0272      ,银河期货  ,1559,313,0082      ,国投安信  ,2076,7,0103      ,永安期货  ,2364,-156,
17,0052      ,山金期货  ,1554,-1974,0272      ,银河期货  ,2064,-377,0311      ,兴证期货  ,2201,426,
18,0275      ,鲁证期货  ,1390,167,0069      ,申万期货  ,2061,-249,0058      ,国贸期货  ,2058,-155,
19,0240      ,广发期货  ,1373,842,0034      ,方正中期  ,1958,-223,0261      ,长城期货  ,2007,484,
20,0103      ,永安期货  ,1263,93,0116      ,首创期货  ,1876,42,0240      ,广发期货  ,1953,120,
合计:al2001                        ,,,66796,-13709,,,72329,-1358,,,83455,-558,
RANK1合约代码:al2002                        ,,,,,,,,,,
1,0148      ,中信期货  ,3500,1812,0029      ,国海良时  ,4959,-98,0148      ,中信期货  ,7060,-1876,
2,0163      ,东证期货  ,2758,-2173,0169      ,兴业期货  ,4218,60,0139      ,中粮期货  ,4448,115,
3,0274      ,中辉期货  ,2563,-669,0308      ,国信期货  ,3831,-1,0103      ,永安期货  ,3128,245,
4,0081      ,海通期货  ,2545,-1519,0253      ,华泰期货  ,3768,-4,0081      ,海通期货  ,2898,-6,
5,0385      ,国富期货  ,2429,-330,0049      ,金瑞期货  ,3458,0,0082      ,国投安信  ,2481,41,
6,0103      ,永安期货  ,1177,885,0139      ,中粮期货  ,3458,-47,0096      ,南华期货  ,2478,-4,
7,0009      ,五矿经易  ,1159,-1310,0136      ,信达期货  ,3021,0,0077      ,新湖期货  ,2391,0,
8,0262      ,英大期货  ,800,800,0103      ,永安期货  ,2642,-900,0253      ,华泰期货  ,2294,-9,
9,0034      ,方正中期  ,715,-158,0008      ,上海中期  ,2522,137,0003      ,建信期货  ,2235,147,
10,0069      ,申万期货  ,566,-1411,0148      ,中信期货  ,2481,-184,0008      ,上海中期  ,2006,-111,
11,0157      ,中国国际  ,550,439,0299      ,华安期货  ,2253,0,0343      ,中金期货  ,1801,40,
12,0137      ,宏源期货  ,515,-250,0009      ,五矿经易  ,1707,-37,0009      ,五矿经易  ,1797,-10,
13,0159      ,倍特期货  ,457,-220,0116      ,首创期货  ,1489,-104,0049      ,金瑞期货  ,1647,0,
14,0308      ,国信期货  ,429,60,0034      ,方正中期  ,1342,50,0385      ,国富期货  ,1485,132,
15,0253      ,华泰期货  ,419,-279,0272      ,银河期货  ,1213,-8,0004      ,国泰君安  ,1423,278,
16,0059      ,瑞达期货  ,402,395,0077      ,新湖期货  ,1118,-13,0277      ,一德期货  ,1357,-3,
17,0008      ,上海中期  ,364,129,0081      ,海通期货  ,1044,-1,0268      ,中信建投  ,1157,0,
18,0082      ,国投安信  ,327,-181,0163      ,东证期货  ,1040,-51,0116      ,首创期货  ,1033,58,
19,0240      ,广发期货  ,310,111,0262      ,英大期货  ,991,400,0332      ,华信期货  ,952,0,
20,0004      ,国泰君安  ,288,248,0047      ,迈科期货  ,942,41,0270      ,前海期货  ,936,0,
合计:al2002                        ,,,22273,-3621,,,47497,-760,,,45007,-963,
RANK1合约代码:al2003                        ,,,,,,,,,,
1,0163      ,东证期货  ,913,-1308,0308      ,国信期货  ,3200,0,0148      ,中信期货  ,4249,-53,
2,0274      ,中辉期货  ,665,-1270,0136      ,信达期货  ,2729,0,0004      ,国泰君安  ,3811,0,
3,0069      ,申万期货  ,516,-850,0082      ,国投安信  ,2229,-59,0069      ,申万期货  ,2479,-174,
4,0385      ,国富期货  ,457,-817,0049      ,金瑞期货  ,2072,0,0139      ,中粮期货  ,1853,66,
5,0082      ,国投安信  ,310,94,0103      ,永安期货  ,2041,0,0275      ,鲁证期货  ,1601,0,
6,0148      ,中信期货  ,269,-991,0008      ,上海中期  ,1927,0,0103      ,永安期货  ,1433,8,
7,0318      ,鑫鼎盛    ,220,180,0253      ,华泰期货  ,1584,1,0318      ,鑫鼎盛    ,1090,-20,
8,0009      ,五矿经易  ,203,171,0148      ,中信期货  ,1478,0,0253      ,华泰期货  ,959,-14,
